"dong","count"
2723051000,5058
2723052600,23519
2723055000,4282
2723056000,19510
2723057000,20492
2723061000,9638
2723062000,11238
2723063000,9092
2723063100,8640
2723064500,18646
2723067100,7634
2723067200,28296
2723068000,6818
2723069500,35827
2723071500,37547
2723072500,22460
2723073500,25183
2723074500,36677
2723075000,17276
2723077000,27137
2723078000,29218
2723079000,12217
2723080000,24095
