"dong","count"
2729051500,24370
2729053500,14854
2729055000,8649
2729055500,28051
2729056300,14533
2729056800,17681
2729057100,31953
2729057200,29604
2729057600,23798
2729057700,16806
2729058500,32063
2729059000,22586
2729060100,43948
2729060200,16697
2729061500,77165
2729062400,39786
2729062500,20418
2729062600,11584
2729062800,36693
2729063000,19837
2729064000,18640
2729065000,13256
