"dong","count"
2714051000,7765
2714052000,10792
2714053000,8818
2714054000,13241
2714054100,6599
2714055500,13414
2714057000,12588
2714058000,7510
2714059000,14225
2714060000,14710
2714061500,4185
2714062000,21875
2714064000,15047
2714065500,15961
2714067000,18369
2714068500,15311
2714072000,43893
2714073000,11370
2714074500,51069
2714076000,17619
